202012345,Juan Camilo,Garcia Saenz,2710,juan.garcia@correounivalle.edu.co
202012346,Maria Fernanda,Rodriguez Perez,2710,maria.rodriguez@correounivalle.edu.co
202012347,Carlos Andres,Lopez Martinez,2710,carlos.lopez@correounivalle.edu.co
202012348,Ana Sofia,Ramirez Torres,2711,ana.ramirez@correounivalle.edu.co
202012349,Luis Miguel,Castillo Rojas,2710,luis.castillo@correounivalle.edu.co
202012350,Valentina,Gomez Herrera,2711,valentina.gomez@correounivalle.edu.co
202012351,Santiago,Mendoza Ortiz,2710,santiago.mendoza@correounivalle.edu.co
202012352,Camila,Rojas Vargas,2711,camila.rojas@correounivalle.edu.co
202012353,Andres Felipe,Salazar Blanco,2710,andres.salazar@correounivalle.edu.co
202012354,Isabella,Mora Cardenas,2711,isabella.mora@correounivalle.edu.co
202012355,Nicolas,Delgado Rios,2710,nicolas.delgado@correounivalle.edu.co
202012356,Laura,Guerrero Pinto,2711,laura.guerrero@correounivalle.edu.co
202012357,Jose Daniel,Alvarez Peña,2710,jose.alvarez@correounivalle.edu.co
202012358,Sara,Castro Naranjo,2711,sara.castro@correounivalle.edu.co
202012359,Miguel Angel,Serrano Cabrera,2710,miguel.serrano@correounivalle.edu.co
202012360,Daniela,Morales Valderrama,2711,daniela.morales@correounivalle.edu.co
202012361,David Santiago,Ortega Quintero,2710,david.ortega@correounivalle.edu.co
202012362,Mariana,Ospina Zapata,2711,mariana.ospina@correounivalle.edu.co
202012363,Alejandro,Navarro Bedoya,2710,alejandro.navarro@correounivalle.edu.co
202012364,Natalia,Cifuentes Palacio,2711,natalia.cifuentes@correounivalle.edu.co
